Time	AMP	ADP	GMP	ATP	GDP_Fucose	GDP	GTP
0	0	0	0	0	0	0	0
0.18333	0.1225	0.5374	1.51935	0.0087	0.00967	0.24638	0.189
1.5	0.153	0.24033	0.5474	0.10103	0.17153	0.5525	0.70615
2.73333	0.10817	0.17005	0.39565	0.11165	0.21335	0.4766	0.75823
4.81667	0.09173	0.0887	0.21803	0.07032	0.19583	0.42195	0.4807
6.5	0.0675	0.07112	0.16068	0.08965	0.11253	0.16453	0.19505
10.5	0.03288	0.0118	0.11968	0.06972	0.18795	0.0875	0.13358
19.75	0.16145	0.05767	0.394	0.04585	0.20272	0.22505	0.16148
24.16667	0.21675	0.0353	0.54695	0.11343	0.06105	0.16933	0.4603
28.36667	0.2346	0.04358	0.5504	0.1669	0.15395	0.21865	0.47587
